# experiment P-78 (R-078)
# hypothesis: PROBE-BASED GI IS THE ONLY GI FAMILY THAT TOLERATES GEOMETRY CHANGING EVERY FRAME, AND ITS COST UNDER A DESTRUCTIBLE WORLD IS UNMEASURED. The best rigorous measurement available is a bachelor's thesis (Dell'Ova, BTH 2025, DOI UNVERIFIED) finding that 87-96% of radiance-cascade frame time is the GATHER pass -- cost is dominated by tracing the scene, not by the cascade structure. That matters because this crate can trace an SDF instead of a BVH, which is what P-74 measures. But the question a game asks first is how much of the cache a dig dirties, and the crate already owns the instrument: M-311's dirty-cell set and M-314's edit-proportionality decomposition. (C1) The probe invalidation set is EDIT-PROPORTIONAL, not volume-proportional: the number of probes whose visibility changes tracks the brush's dilated support with a constant factor under 4, across M-50's four edit-log buckets and three probe densities. (C2) Tracing the field beats tracing the extracted mesh for probe updates by at least 3x at equal ray count. (C3) A dig that opens a new air component -- M-311's union-find merge, the banked breakthrough event -- invalidates STRICTLY MORE probes than a dig of the same volume that does not. SHARE: C2 moves the gather pass, which the thesis puts at 87-96% of GI cost.
# falsified by: C1 by a factor above 4, or by a count that grows with world size at fixed edit size -- the second kills probe GI for this game outright and is worth knowing in an afternoon. C2 by under 3x. C3 by no difference, which would mean the topological event has no lighting signature and the banked breakthrough event cannot drive a lighting response. VACUITY CONTROL: the breakthrough arm must actually merge two air components, asserted from the union-find rather than assumed from the brush.
# commit abffc18 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:51:51Z
log_bucket,probe_density,world_cells,brush_support_cells,probes_invalidated,invalidation_factor,gather_ms_field,gather_ms_mesh,gather_speedup,breakthrough,air_components_before,air_components_after,probes_invalidated_breakthrough,c1_holds,c2_holds,c3_holds,bvh_build_ms,cpu_mhz,dirs_per_probe,dug_samples,dug_samples_other_arm,edit_brush_radius_cells,edit_center,extract_ms,factor_ceiling,factor_ceiling_literal,hit_agree_frac,hit_frac_field,hit_frac_mesh,hit_median_delta_cells,hit_tol_cells,invalidated_volume_cells,invalidation_factor_literal,log_brushes,main_component_samples,max_steps,mean_steps_per_ray,merges,mesh_tris,pocket_air_samples,pocket_connected_after,pocket_connected_before,probe_spacing_cells,probes_air_before,probes_born,probes_in_support_actual,probes_in_support_expected,probes_invalidated_control,probes_live,probes_total,rays_field,rays_mesh,relabels,steps_before_gather,unresolved_frac_field,value_changed_cells_in_region,world_cells_per_axis
16-30,0.001953,32768,360,5,7.111111,2.0275,0.4762,0.234844,yes,2,1,5,false,false,true,5.834,3639.7,32,171,171,4.00,17.41_16.00_23.88,7.832,91.0222,0.1778,0.9869,0.9869,1.0000,0.0565,0.500,2560,0.013889,23,9370,96,27.73,2,19276,515,true,false,8,31,0,0,0.7031,4,31,64,992,992,857,27372,0.0131,547,32
16-30,0.001953,32768,286,4,7.160839,2.0217,0.4760,0.235458,no,2,2,5,false,false,true,5.734,3639.7,32,171,171,4.00,6.26_6.12_14.10,7.595,114.5734,0.2238,0.9869,0.9869,1.0000,0.0566,0.500,2048,0.013986,23,9370,96,27.75,1,19352,515,false,false,8,31,0,1,0.5586,4,31,64,992,992,342,27372,0.0131,625,32
31-45,0.125000,32768,360,301,6.688889,120.4611,23.7938,0.197523,yes,2,1,301,false,false,true,5.958,3639.7,32,171,171,4.00,17.41_16.00_23.88,11.180,91.0222,11.3778,0.9846,0.9874,0.9972,0.0726,0.500,2408,0.836111,38,9759,96,26.73,2,19164,515,true,false,2,1397,23,29,45.0000,147,1420,4096,45440,45440,857,1190846,0.0126,547,32
31-45,0.125000,32768,286,147,4.111888,119.7103,23.5217,0.196489,no,2,2,301,false,false,true,5.789,3639.7,32,171,171,4.00,6.26_6.12_14.10,10.862,114.5734,14.3217,0.9848,0.9875,0.9973,0.0736,0.500,1176,0.513986,38,9759,96,26.61,1,19240,515,false,false,2,1397,21,22,35.7500,147,1418,4096,45376,45376,342,1190846,0.0125,625,32
31-45,0.015625,32768,360,28,4.977778,9.9339,2.1535,0.216785,yes,2,1,28,false,false,true,5.958,3639.7,32,171,171,4.00,17.41_16.00_23.88,11.180,91.0222,1.4222,0.9903,0.9923,0.9980,0.0674,0.500,1792,0.077778,38,9759,96,25.64,2,19164,515,true,false,4,118,4,4,5.6250,15,122,512,3904,3904,857,96085,0.0077,547,32
31-45,0.015625,32768,286,15,3.356643,9.7932,2.1029,0.214736,no,2,2,28,true,false,true,5.789,3639.7,32,171,171,4.00,6.26_6.12_14.10,10.862,114.5734,1.7902,0.9917,0.9930,0.9987,0.0686,0.500,960,0.052448,38,9759,96,25.73,1,19240,515,false,false,4,118,2,1,4.4688,15,120,512,3840,3840,342,96085,0.0070,625,32
31-45,0.001953,32768,360,5,7.111111,2.8244,0.4843,0.171460,yes,2,1,5,false,false,true,5.958,3639.7,32,171,171,4.00,17.41_16.00_23.88,11.180,91.0222,0.1778,0.9883,0.9883,1.0000,0.0617,0.500,2560,0.013889,38,9759,96,27.88,2,19164,515,true,false,8,32,0,0,0.7031,4,32,64,1024,1024,857,28438,0.0117,547,32
31-45,0.001953,32768,286,4,7.160839,2.8326,0.5012,0.176927,no,2,2,5,false,false,true,5.789,3639.7,32,171,171,4.00,6.26_6.12_14.10,10.862,114.5734,0.2238,0.9883,0.9883,1.0000,0.0621,0.500,2048,0.013986,38,9759,96,27.92,1,19240,515,false,false,8,32,0,1,0.5586,4,32,64,1024,1024,342,28438,0.0117,625,32
46-60,0.125000,32768,360,310,6.888889,156.1406,24.2532,0.155329,yes,2,1,310,false,false,true,5.999,3639.7,32,171,171,4.00,17.41_16.00_23.88,14.234,91.0222,11.3778,0.9850,0.9877,0.9973,0.0764,0.500,2480,0.861111,53,10052,96,26.96,2,18844,515,true,false,2,1425,23,29,45.0000,166,1448,4096,46336,46336,857,1224974,0.0123,547,32
46-60,0.125000,32768,286,166,4.643357,155.8055,24.0567,0.154402,no,2,2,310,false,false,true,5.609,3639.7,32,171,171,4.00,6.26_6.12_14.10,14.034,114.5734,14.3217,0.9852,0.9877,0.9974,0.0778,0.500,1328,0.580420,53,10052,96,26.84,1,18920,515,false,false,2,1425,21,22,35.7500,166,1446,4096,46272,46272,342,1224974,0.0123,625,32
46-60,0.015625,32768,360,29,5.155556,13.1304,2.2438,0.170887,yes,2,1,29,false,false,true,5.999,3639.7,32,171,171,4.00,17.41_16.00_23.88,14.234,91.0222,1.4222,0.9899,0.9919,0.9980,0.0713,0.500,1856,0.080556,53,10052,96,25.75,2,18844,515,true,false,4,123,4,4,5.6250,17,127,512,4064,4064,857,100550,0.0081,547,32
46-60,0.015625,32768,286,17,3.804196,12.9117,2.1858,0.169285,no,2,2,29,true,false,true,5.609,3639.7,32,171,171,4.00,6.26_6.12_14.10,14.034,114.5734,1.7902,0.9915,0.9928,0.9988,0.0733,0.500,1088,0.059441,53,10052,96,25.83,1,18920,515,false,false,4,123,2,1,4.4688,17,125,512,4000,4000,342,100550,0.0073,625,32
46-60,0.001953,32768,360,5,7.111111,3.6058,0.4957,0.137479,yes,2,1,5,false,false,true,5.999,3639.7,32,171,171,4.00,17.41_16.00_23.88,14.234,91.0222,0.1778,0.9883,0.9883,1.0000,0.0641,0.500,2560,0.013889,53,10052,96,28.20,2,18844,515,true,false,8,32,0,0,0.7031,4,32,64,1024,1024,857,28757,0.0117,547,32
46-60,0.001953,32768,286,4,7.160839,3.6168,0.5142,0.142166,no,2,2,5,false,false,true,5.609,3639.7,32,171,171,4.00,6.26_6.12_14.10,14.034,114.5734,0.2238,0.9883,0.9883,1.0000,0.0651,0.500,2048,0.013986,53,10052,96,28.26,1,18920,515,false,false,8,32,0,1,0.5586,4,32,64,1024,1024,342,28757,0.0117,625,32
1-15,0.125000,110592,360,284,6.311111,230.6948,102.7311,0.445312,yes,2,1,284,false,false,true,21.807,3639.7,32,171,171,4.00,17.41_16.00_23.88,16.349,307.2000,38.4000,0.9790,0.9809,0.9981,0.0316,0.500,2272,0.788889,8,39010,96,28.45,2,70208,515,true,false,2,5301,23,29,45.0000,142,5324,13824,170368,170368,857,4821778,0.0191,547,48
1-15,0.125000,110592,286,142,3.972028,230.2701,102.1607,0.443656,no,2,2,284,true,false,true,21.460,3639.7,32,171,171,4.00,6.26_6.12_14.10,16.202,386.6853,48.3357,0.9791,0.9809,0.9981,0.0318,0.500,1136,0.496503,8,39010,96,28.41,1,70284,515,false,false,2,5301,21,22,35.7500,142,5322,13824,170304,170304,342,4821778,0.0191,625,48
1-15,0.015625,110592,360,32,5.688889,21.4117,10.7385,0.501523,yes,2,1,32,false,false,true,21.807,3639.7,32,171,171,4.00,17.41_16.00_23.88,16.349,307.2000,4.8000,0.9826,0.9833,0.9993,0.0308,0.500,2048,0.088889,8,39010,96,26.48,2,70208,515,true,false,4,526,4,4,5.6250,15,530,1728,16960,16960,857,444801,0.0167,547,48
1-15,0.015625,110592,286,15,3.356643,21.3308,10.6782,0.500601,no,2,2,32,true,false,true,21.460,3639.7,32,171,171,4.00,6.26_6.12_14.10,16.202,386.6853,6.0420,0.9831,0.9836,0.9995,0.0309,0.500,960,0.052448,8,39010,96,26.49,1,70284,515,false,false,4,526,2,1,4.4688,15,528,1728,16896,16896,342,444801,0.0164,625,48
1-15,0.001953,110592,360,5,7.111111,4.5440,2.0740,0.456429,yes,2,1,5,false,false,true,21.807,3639.7,32,171,171,4.00,17.41_16.00_23.88,16.349,307.2000,0.6000,0.9814,0.9814,1.0000,0.0341,0.500,2560,0.013889,8,39010,96,26.88,2,70208,515,true,false,8,111,0,0,0.7031,4,111,216,3552,3552,857,95332,0.0186,547,48
1-15,0.001953,110592,286,4,7.160839,4.5456,2.0758,0.456659,no,2,2,5,false,false,true,21.460,3639.7,32,171,171,4.00,6.26_6.12_14.10,16.202,386.6853,0.7552,0.9814,0.9814,1.0000,0.0341,0.500,2048,0.013986,8,39010,96,26.88,1,70284,515,false,false,8,111,0,1,0.5586,4,111,216,3552,3552,342,95332,0.0186,625,48
16-30,0.125000,110592,361,332,7.357341,360.4620,104.0459,0.288646,yes,2,1,332,false,false,true,21.225,3639.7,32,171,171,4.00,17.41_16.00_23.88,27.303,306.3490,38.2936,0.9791,0.9810,0.9981,0.0328,0.500,2656,0.919668,23,39421,96,28.52,2,70168,515,true,false,2,5350,23,29,45.1250,142,5373,13824,171936,171936,857,4877783,0.0190,547,48
16-30,0.125000,110592,286,142,3.972028,359.7391,103.0643,0.286497,no,2,2,332,true,false,true,21.870,3639.7,32,171,171,4.00,6.26_6.12_14.10,26.430,386.6853,48.3357,0.9792,0.9810,0.9982,0.0331,0.500,1136,0.496503,23,39421,96,28.48,1,70244,515,false,false,2,5350,21,22,35.7500,142,5371,13824,171872,171872,342,4877783,0.0190,625,48
16-30,0.015625,110592,361,36,6.382271,33.5545,10.9378,0.325972,yes,2,1,36,false,false,true,21.225,3639.7,32,171,171,4.00,17.41_16.00_23.88,27.303,306.3490,4.7867,0.9829,0.9835,0.9994,0.0314,0.500,2304,0.099723,23,39421,96,26.56,2,70168,515,true,false,4,532,4,4,5.6406,15,536,1728,17152,17152,857,451178,0.0165,547,48
16-30,0.015625,110592,286,15,3.356643,33.3589,10.7854,0.323315,no,2,2,36,true,false,true,21.870,3639.7,32,171,171,4.00,6.26_6.12_14.10,26.430,386.6853,6.0420,0.9833,0.9838,0.9995,0.0315,0.500,960,0.052448,23,39421,96,26.57,1,70244,515,false,false,4,532,2,1,4.4688,15,534,1728,17088,17088,342,451178,0.0162,625,48
16-30,0.001953,110592,361,5,7.091413,7.0419,2.0749,0.294654,yes,2,1,5,false,false,true,21.225,3639.7,32,171,171,4.00,17.41_16.00_23.88,27.303,306.3490,0.5983,0.9817,0.9817,1.0000,0.0342,0.500,2560,0.013850,23,39421,96,26.92,2,70168,515,true,false,8,111,0,0,0.7051,4,111,216,3552,3552,857,95472,0.0183,547,48
16-30,0.001953,110592,286,4,7.160839,7.0221,2.0728,0.295189,no,2,2,5,false,false,true,21.870,3639.7,32,171,171,4.00,6.26_6.12_14.10,26.430,386.6853,0.7552,0.9817,0.9817,1.0000,0.0342,0.500,2048,0.013986,23,39421,96,26.92,1,70244,515,false,false,8,111,0,1,0.5586,4,111,216,3552,3552,342,95472,0.0183,625,48
31-45,0.125000,110592,361,361,8.000000,492.7942,104.7271,0.212517,yes,2,1,361,false,false,true,20.366,3639.7,32,171,171,4.00,17.41_16.00_23.88,37.640,306.3490,38.2936,0.9791,0.9810,0.9981,0.0337,0.500,2888,1.000000,38,39810,96,28.58,2,70056,515,true,false,2,5405,23,29,45.1250,150,5428,13824,173696,173696,857,4938755,0.0190,547,48
31-45,0.125000,110592,286,150,4.195804,492.9436,104.4623,0.211915,no,2,2,361,false,false,true,21.402,3639.7,32,171,171,4.00,6.26_6.12_14.10,37.673,386.6853,48.3357,0.9792,0.9810,0.9982,0.0338,0.500,1200,0.524476,38,39810,96,28.54,1,70132,515,false,false,2,5405,21,22,35.7500,150,5426,13824,173632,173632,342,4938755,0.0190,625,48
31-45,0.015625,110592,361,38,6.736842,45.7806,11.1923,0.244477,yes,2,1,38,false,false,true,20.366,3639.7,32,171,171,4.00,17.41_16.00_23.88,37.640,306.3490,4.7867,0.9821,0.9828,0.9994,0.0324,0.500,2432,0.105263,38,39810,96,26.68,2,70056,515,true,false,4,538,4,4,5.6406,15,542,1728,17344,17344,857,458300,0.0172,547,48
31-45,0.015625,110592,286,15,3.356643,45.6760,10.9849,0.240496,no,2,2,38,true,false,true,21.402,3639.7,32,171,171,4.00,6.26_6.12_14.10,37.673,386.6853,6.0420,0.9826,0.9830,0.9995,0.0324,0.500,960,0.052448,38,39810,96,26.68,1,70132,515,false,false,4,538,2,1,4.4688,15,540,1728,17280,17280,342,458300,0.0170,625,48
31-45,0.001953,110592,361,5,7.091413,9.5679,2.1168,0.221236,yes,2,1,5,false,false,true,20.366,3639.7,32,171,171,4.00,17.41_16.00_23.88,37.640,306.3490,0.5983,0.9816,0.9816,1.0000,0.0352,0.500,2560,0.013850,38,39810,96,26.97,2,70056,515,true,false,8,112,0,0,0.7051,4,112,216,3584,3584,857,96539,0.0184,547,48
31-45,0.001953,110592,286,4,7.160839,9.5706,2.1032,0.219752,no,2,2,5,false,false,true,21.402,3639.7,32,171,171,4.00,6.26_6.12_14.10,37.673,386.6853,0.7552,0.9816,0.9816,1.0000,0.0352,0.500,2048,0.013986,38,39810,96,26.98,1,70132,515,false,false,8,112,0,1,0.5586,4,112,216,3584,3584,342,96539,0.0184,625,48
46-60,0.125000,110592,361,376,8.332410,625.3612,105.7992,0.169181,yes,2,1,376,false,false,true,20.466,3639.7,32,171,171,4.00,17.41_16.00_23.88,49.360,306.3490,38.2936,0.9791,0.9810,0.9981,0.0341,0.500,3008,1.041551,53,40103,96,28.68,2,69736,515,true,false,2,5433,23,29,45.1250,170,5456,13824,174592,174592,857,4981088,0.0190,547,48
46-60,0.125000,110592,286,170,4.755245,627.0176,105.4484,0.168175,no,2,2,376,false,false,true,21.108,3639.7,32,171,171,4.00,6.26_6.12_14.10,48.683,386.6853,48.3357,0.9792,0.9810,0.9982,0.0343,0.500,1360,0.594406,53,40103,96,28.64,1,69812,515,false,false,2,5433,21,22,35.7500,170,5454,13824,174528,174528,342,4981088,0.0190,625,48
46-60,0.015625,110592,361,40,7.091413,58.7968,11.2208,0.190841,yes,2,1,40,false,false,true,20.466,3639.7,32,171,171,4.00,17.41_16.00_23.88,49.360,306.3490,4.7867,0.9822,0.9829,0.9994,0.0325,0.500,2560,0.110803,53,40103,96,26.77,2,69736,515,true,false,4,543,4,4,5.6406,17,547,1728,17504,17504,857,464177,0.0171,547,48
46-60,0.015625,110592,286,17,3.804196,58.5672,11.1416,0.190235,no,2,2,40,true,false,true,21.108,3639.7,32,171,171,4.00,6.26_6.12_14.10,48.683,386.6853,6.0420,0.9827,0.9832,0.9995,0.0330,0.500,1088,0.059441,53,40103,96,26.78,1,69812,515,false,false,4,543,2,1,4.4688,17,545,1728,17440,17440,342,464177,0.0168,625,48
46-60,0.001953,110592,361,5,7.091413,12.1956,2.1296,0.174623,yes,2,1,5,false,false,true,20.466,3639.7,32,171,171,4.00,17.41_16.00_23.88,49.360,306.3490,0.5983,0.9813,0.9813,1.0000,0.0368,0.500,2560,0.013850,53,40103,96,27.11,2,69736,515,true,false,8,112,0,0,0.7051,4,112,216,3584,3584,857,97018,0.0187,547,48
46-60,0.001953,110592,286,4,7.160839,12.2085,2.2043,0.180557,no,2,2,5,false,false,true,21.108,3639.7,32,171,171,4.00,6.26_6.12_14.10,48.683,386.6853,0.7552,0.9813,0.9813,1.0000,0.0371,0.500,2048,0.013986,53,40103,96,27.12,1,69812,515,false,false,8,112,0,1,0.5586,4,112,216,3584,3584,342,97018,0.0187,625,48
1-15,0.125000,262144,360,284,6.311111,611.5886,278.9251,0.456066,yes,3,2,284,false,false,true,56.062,3639.7,32,171,171,4.00,17.41_16.00_23.88,37.828,728.1778,91.0222,0.9777,0.9788,0.9988,0.0287,0.500,2272,0.788889,8,101930,96,29.57,2,171764,515,true,false,2,13521,23,29,45.0000,142,13544,32768,433408,433408,857,12790950,0.0212,547,64
1-15,0.125000,262144,286,142,3.972028,609.4591,280.5236,0.460283,no,3,3,284,true,false,true,57.800,3639.7,32,171,171,4.00,6.26_6.12_14.10,39.318,916.5874,114.5734,0.9777,0.9789,0.9988,0.0288,0.500,1136,0.496503,8,101930,96,29.56,1,171840,515,false,false,2,13521,21,22,35.7500,142,13542,32768,433344,433344,342,12790950,0.0211,625,64
1-15,0.015625,262144,360,32,5.688889,63.6578,32.7077,0.513805,yes,3,2,32,false,false,true,56.062,3639.7,32,171,171,4.00,17.41_16.00_23.88,37.828,728.1778,11.3778,0.9802,0.9806,0.9996,0.0306,0.500,2048,0.088889,8,101930,96,28.29,2,171764,515,true,false,4,1473,4,4,5.6250,15,1477,4096,47264,47264,857,1332807,0.0194,547,64
1-15,0.015625,262144,286,15,3.356643,63.5573,32.3542,0.509056,no,3,3,32,true,false,true,57.800,3639.7,32,171,171,4.00,6.26_6.12_14.10,39.318,916.5874,14.3217,0.9804,0.9807,0.9997,0.0307,0.500,960,0.052448,8,101930,96,28.30,1,171840,515,false,false,4,1473,2,1,4.4688,15,1475,4096,47200,47200,342,1332807,0.0193,625,64
1-15,0.001953,262144,360,5,7.111111,11.8089,5.9486,0.503738,yes,3,2,5,false,false,true,56.062,3639.7,32,171,171,4.00,17.41_16.00_23.88,37.828,728.1778,1.4222,0.9844,0.9844,1.0000,0.0319,0.500,2560,0.013889,8,101930,96,27.00,2,171764,515,true,false,8,286,0,0,0.7031,4,286,512,9152,9152,857,246988,0.0156,547,64
1-15,0.001953,262144,286,4,7.160839,11.8134,5.9067,0.500002,no,3,3,5,false,false,true,57.800,3639.7,32,171,171,4.00,6.26_6.12_14.10,39.318,916.5874,1.7902,0.9844,0.9844,1.0000,0.0323,0.500,2048,0.013986,8,101930,96,27.00,1,171840,515,false,false,8,286,0,1,0.5586,4,286,512,9152,9152,342,246988,0.0156,625,64
16-30,0.125000,262144,361,332,7.357341,942.0684,281.8975,0.299233,yes,3,2,332,false,false,true,53.730,3639.7,32,171,171,4.00,17.41_16.00_23.88,65.260,726.1607,90.7701,0.9777,0.9789,0.9988,0.0292,0.500,2656,0.919668,23,102341,96,29.59,2,171724,515,true,false,2,13570,23,29,45.1250,142,13593,32768,434976,434976,857,12846981,0.0211,547,64
16-30,0.125000,262144,286,142,3.972028,947.6764,280.0591,0.295522,no,3,3,332,true,false,true,53.429,3639.7,32,171,171,4.00,6.26_6.12_14.10,64.546,916.5874,114.5734,0.9777,0.9789,0.9988,0.0292,0.500,1136,0.496503,23,102341,96,29.58,1,171800,515,false,false,2,13570,21,22,35.7500,142,13591,32768,434912,434912,342,12846981,0.0211,625,64
16-30,0.015625,262144,361,36,6.382271,98.3071,32.8891,0.334555,yes,3,2,36,false,false,true,53.730,3639.7,32,171,171,4.00,17.41_16.00_23.88,65.260,726.1607,11.3463,0.9803,0.9807,0.9996,0.0308,0.500,2304,0.099723,23,102341,96,28.31,2,171724,515,true,false,4,1479,4,4,5.6406,15,1483,4096,47456,47456,857,1339183,0.0193,547,64
16-30,0.015625,262144,286,15,3.356643,98.2100,32.2995,0.328882,no,3,3,36,true,false,true,53.429,3639.7,32,171,171,4.00,6.26_6.12_14.10,64.546,916.5874,14.3217,0.9805,0.9808,0.9997,0.0308,0.500,960,0.052448,23,102341,96,28.32,1,171800,515,false,false,4,1479,2,1,4.4688,15,1481,4096,47392,47392,342,1339183,0.0192,625,64
16-30,0.001953,262144,361,5,7.091413,18.0912,5.9863,0.330896,yes,3,2,5,false,false,true,53.730,3639.7,32,171,171,4.00,17.41_16.00_23.88,65.260,726.1607,1.4183,0.9845,0.9845,1.0000,0.0324,0.500,2560,0.013850,23,102341,96,27.02,2,171724,515,true,false,8,286,0,0,0.7051,4,286,512,9152,9152,857,247128,0.0155,547,64
16-30,0.001953,262144,286,4,7.160839,18.1048,5.8424,0.322699,no,3,3,5,false,false,true,53.429,3639.7,32,171,171,4.00,6.26_6.12_14.10,64.546,916.5874,1.7902,0.9845,0.9845,1.0000,0.0324,0.500,2048,0.013986,23,102341,96,27.02,1,171800,515,false,false,8,286,0,1,0.5586,4,286,512,9152,9152,342,247128,0.0155,625,64
31-45,0.125000,262144,361,361,8.000000,1286.9250,281.8928,0.219044,yes,3,2,361,false,false,true,52.211,3639.7,32,171,171,4.00,17.41_16.00_23.88,90.352,726.1607,90.7701,0.9777,0.9789,0.9988,0.0293,0.500,2888,1.000000,38,102730,96,29.62,2,171612,515,true,false,2,13625,23,29,45.1250,150,13648,32768,436736,436736,857,12907976,0.0211,547,64
